Solution index,Deletion_id,etoh(objective),lac__D(objective),ac(objective),ppoh(objective),btoh(objective),ibutoh(objective),ptoh(objective),for(objective),pyr(objective),glu__L(objective)
1,,0,0,0,0.027406,0,0,0.029854,0.95731,0,0
2,,0,0,0,0.051163,0,0,0.055795,0.91631,0,0
3,,0,0,0,0.054693,0,0,0.059631,0.9102,0,0
4,,0,0,0,0.069248,0,0,0.075434,0.90841,0,0
5,,0,0,0,0.083508,0,0,0.090889,0.9066,0,0
6,,0,0,0,0.09736,0,0,0.10588,0.9048,0,0
7,,0.098102,0.0075674,0.92918,1.8799e-31,0.093243,1.584e-31,0,0.48785,0,0
8,,0.098172,0,0.95508,0,0.093306,2.8396e-31,3.3389e-31,0.4993,0,0
9,,0.42772,0.91739,0.0090049,0,0.43757,4.9292e-31,0,0.97869,0,0
10,,0.42772,0.91739,0.015053,1.2732e-31,0.43757,1.7145e-31,1.1067e-32,0.041493,0,0
11,,0.42772,0.91739,0,0,0.43757,0.96393,0.84143,0,0,0
12,,0.43256,0.92412,0.95482,0,0.44197,3.429e-31,0,0.49926,0,0
13,,0.43256,0,0.88497,0,0,1.1919e-31,0,0.91631,0,0
14,,0.43272,0.92414,0.94349,0,0.44211,0.00041474,0.0005384,0.49507,0,0
15,,0.43774,0.91619,0.93767,0,0.44666,0.0075371,0.009766,0.49179,0,0
16,,0.44276,0,0,0.02374,0.45119,0,0.019631,0,0,0
17,,0.44276,0,0.83607,9.3997e-32,0,1.485e-32,0,0.9048,0,0
18,,0.44276,0.90836,0.93201,0,0.45119,0.014537,0.018801,0.48861,0,0
19,,0.44276,0.90836,0.91636,1.0174e-30,0.45119,0,0,0.49554,0,0
20,,0.46503,0,0,0,0.47813,0,0.59135,0,0,0
21,,0.50605,0,0,0,0.50741,0,0.35896,0,0,0
22,,0.50605,0,0.66557,0,0,0,1.0283e-31,0.88206,0,0
23,,0.50605,0.93371,0.76466,0,0.50741,9.4297e-31,0,0.4971,0,0
24,,0.50605,0.93371,0.87131,0,0.50741,3.6301e-31,0,0.45447,0,0
25,,0.50661,0.93899,0,8.8123e-33,0.5079,1.188e-31,0,0.029271,0,0
26,,0.50916,0,0.87657,0,0,0,0,0.53998,0.77308,0
27,,0.57121,0,0.25611,3.5249e-32,0,0,0,0.83428,0,0
28,,0.57476,0,0.23383,4.6999e-32,0,0,0,0.83168,0,0
29,,0.68649,0,0.39297,0,0,1.188e-31,0,0.45576,0,0
30,,0.85675,0.92425,0.95002,0,0.90319,8.5724e-32,0,0.97831,0,0
31,,0.85675,0.92425,0.95002,0,0.90319,0.96822,0,0,0,0
32,,0.85675,0.93371,0,0,0.11585,1.584e-31,0,0.030912,0,0
33,,0.85686,0.90327,0,0,0.90327,0.955,0,0.4985,0,0
34,,0.86626,0,0,1.128e-30,0,1.584e-30,0,0.19095,0,0
35,,0.86626,0,0,1.8506e-31,0,1.584e-31,0,0.91631,0,0
36,,0.86626,0.91055,0,3.5608e-31,0,0,3.1476e-31,0.03908,0,0
37,,0.86661,0,0.88497,0,0,0,0,0.19095,0,0
38,,0.86661,0.93055,0.014178,2.5849e-31,0.10904,2.5741e-31,0,0.031892,0,0
39,,0.87185,0,0,3.8186e-32,0,1.584e-31,0,0.91993,0,0
40,,0.87746,0,0,1.41e-31,0,7.9202e-32,8.2263e-31,0.47179,0,0
41,,0.87976,0,0,0,0,5.5442e-31,0,0.88956,0,0
42,,0.88041,0,0.83607,0,0,0,0,0.067321,0,0
43,,0.88041,0.90836,0,3.6244e-31,0.015487,0,0,0.033279,0,0
44,,0.88224,0.91619,0,0,0.0077865,0,0,0.03356,0,0
45,,0.88407,0.92414,0,5.37e-33,0.00010276,2.9701e-31,0,0.033846,0,0
46,,0.88588,0.92561,0.015053,0,0,4.2862e-32,0,0.026397,0,0
47,,0.8889,0,0.84663,0,0,0,0,0.063582,0,0
48,,0.89062,0,0.85942,9.3997e-32,0,0,0,0.053729,0,0
49,,0.89156,0,0.84995,0,0,0,0,0.062411,0,0
50,,0.89234,0,0.87224,0,0,0,0,0.043886,0,0
51,,0.89404,0,0.86344,0,0,0,0,0.052442,0,0
52,,0.89405,0,0.88497,0,0,0,0,0.034139,0,0
53,,0.89649,0,0.87681,0,0,0,0,0.042595,0,0
54,,0.89889,0,0.88995,0,0,0,0,0.032952,0,0
55,,0.94376,0,0.95031,0,0,0,0,0,0,0
56,,0.94975,0,0.94718,0,0,0,0,0,0,0
57,,0.96153,0,0.94132,0,0,0,0,0.017584,0,0
