Solution index,Deletion_id,etoh(objective),lac__D(objective),ac(objective),ppoh(objective),btoh(objective),ibutoh(objective),ptoh(objective),for(objective),pyr(objective),glu__L(objective)
1,,0,0,0,0.027,0,0,0.03,0.957,0,0
2,,0,0,0,0.051,0,0,0.056,0.916,0,0
3,,0,0,0,0.055,0,0,0.06,0.91,0,0
4,,0,0,0,0.069,0,0,0.075,0.908,0,0
5,,0,0,0,0.084,0,0,0.091,0.907,0,0
6,,0,0,0,0.097,0,0,0.106,0.905,0,0
7,,0.098,0,0.955,0,0.093,0,0,0.499,0,0
8,,0.428,0.917,0,0,0.438,0.964,0.841,0,0,0
9,,0.428,0.917,0.009,0,0.438,0,0,0.979,0,0
10,,0.433,0.924,0.943,0,0.442,0,0.001,0.495,0,0
11,,0.433,0.924,0.955,0,0.442,0,0,0.499,0,0
12,,0.438,0.916,0.938,0,0.447,0.008,0.01,0.492,0,0
13,,0.443,0,0,0.024,0.451,0,0.02,0,0,0
14,,0.443,0.908,0.932,0,0.451,0.015,0.019,0.489,0,0
15,,0.465,0,0,0,0.478,0,0.591,0,0,0
16,,0.506,0,0,0,0.507,0,0.359,0,0,0
17,,0.506,0.934,0.765,0,0.507,0,0,0.497,0,0
18,,0.506,0.934,0.871,0,0.507,0,0,0.454,0,0
19,,0.507,0.939,0,0,0.508,0,0,0.029,0,0
20,,0.509,0,0.877,0,0,0,0,0.54,0.773,0
21,,0.857,0.903,0,0,0,0,0,0.034,0,0
22,,0.857,0.903,0,0,0.903,0.955,0,0.498,0,0
23,,0.857,0.924,0.95,0,0.903,0,0,0.978,0,0
24,,0.857,0.924,0.95,0,0.903,0.968,0,0,0,0
25,,0.857,0.934,0,0,0.116,0,0,0.031,0,0
26,,0.862,0,0,0,0,0,0,0.918,0,0
27,,0.866,0,0,0,0,0,0,0.916,0,0
28,,0.866,0.911,0,0,0,0,0,0.039,0,0
29,,0.867,0,0.885,0,0,0,0,0.191,0,0
30,,0.867,0.931,0.014,0,0.109,0,0,0.032,0,0
31,,0.872,0,0,0,0,0,0,0.882,0,0
32,,0.872,0,0,0,0,0,0,0.92,0,0
33,,0.877,0,0,0,0,0,0,0.472,0,0
34,,0.88,0,0,0,0,0,0,0.89,0,0
35,,0.88,0,0.836,0,0,0,0,0.067,0,0
36,,0.88,0.908,0,0,0.015,0,0,0.033,0,0
37,,0.882,0.916,0,0,0.008,0,0,0.034,0,0
38,,0.884,0.924,0,0,0,0,0,0.034,0,0
39,,0.886,0.926,0.015,0,0,0,0,0.026,0,0
40,,0.889,0,0.847,0,0,0,0,0.064,0,0
41,,0.891,0,0.859,0,0,0,0,0.054,0,0
42,,0.892,0,0.85,0,0,0,0,0.062,0,0
43,,0.892,0,0.872,0,0,0,0,0.044,0,0
44,,0.894,0,0.863,0,0,0,0,0.052,0,0
45,,0.894,0,0.885,0,0,0,0,0.034,0,0
46,,0.896,0,0.877,0,0,0,0,0.043,0,0
47,,0.899,0,0.89,0,0,0,0,0.033,0,0
48,,0.944,0,0.95,0,0,0,0,0,0,0
49,,0.95,0,0.947,0,0,0,0,0,0,0
50,,0.962,0,0.941,0,0,0,0,0.018,0,0
